,id,lender_norm1,status,business description
197,194,Oxford Finance LLC,,"Oxford Finance LLC provides financial solutions for healthcare and life sciences companies. The company offers senior secured term loans, cash flow loans, and revolving line of credit; and real estate term loans and leveraged term loans. It serves customers in the United States and internationally. The company was incorporated in 2002 and is headquartered in Alexandria, Virginia with additional offices in San Diego and San Francisco, California. Oxford Finance LLC is a former subsidiary of Sumitomo Corporation of Americas."
198,195,"National Century Financial Enterprises, Inc",,
199,196,Kimco Realty Corporation,,"Kimco Realty Corp. (NYSE:KIM) is a real estate investment trust (REIT) headquartered in Jericho, N.Y. that is one of North America’s largest publicly traded owners and operators of open-air, grocery-anchored shopping centers and mixed-use assets. As of September 30, 2020, the company owned interests in 400 U.S. shopping centers and mixed-use assets comprising 70 million square feet of gross leasable space primarily concentrated in the top major metropolitan markets. Publicly traded on the NYSE since 1991, and included in the S&P 500 Index, the company has specialized in shopping center acquisitions, development and management for more than 60 years."
200,197,Heller Germany,,
201,198,RFC Capital Corporation,Out of Business,"As of November 2003, Receivable Funding Corporation went out of business. Receivable Funding Corporation is a service organization in the business of buying telephone receivables. Receivable Funding Corporation was formerly a subsidiary of Textron Financial Corp."
202,199,Sumitomo Bank of California,,
203,200,"The Dime Savings Bank of New York, FSB",Acquired,"The Dime Savings Bank of New York, FSB was acquired by Washington Mutual, Inc. as a result of the acquisition of Dime Bancorp, Inc. on 01/07/2002. The Dime Savings Bank of New York, FSB operates as a regional bank serving consumers and businesses in the New York City metropolitan area. It offers products, such as interest-paying checking, credit cards, checking savings, money market and CD's, and retirement accounts. The bank also offers consumer financial and mortgage banking services in the United States. In addition, The Dime Savings Bank of New York provides commercial real estate, multifamily, consumer, and business loans; residential loans; and home loan products, including home equity loans. The bank was founded in 1859 and is based in New York City."
204,201,"Marquette Business Credit, Inc.",Operating Subsidiary,"Marquette Business Credit, Inc. provides a range of financial services to middle market companies, and businesses and their owners in the United States. The company offers secured lines of credit based on various assets, including accounts receivable, inventory, machinery, equipment, real estate, and cash flow piece. It offers credit to finance growth situations, restructurings, recapitalization, mergers and acquisitions, reorganizations, and owner succession financing. The company was founded in 2004 and is based in Dallas, Texas. Marquette Business Credit, Inc. operates as a subsidiary of UMB Bank, National Association."
205,202,"Faunus Group International, Inc.",,
206,203,IBM Credit LLC.,,No color notes exists.
207,204,Presidential Financial Corporation,,
208,205,"WB QT, LLC",,
209,206,Antares Holdings,,"Antares Holdings LP provides mortgage banking services. Antares Holdings LP was formerly known as Arena Cap Holdings LP. The company was incorporated in 2015 and is based in Toronto, Canada."
210,207,Debis Financial Services Inc,Operating Subsidiary,"debis Financial Services Inc. provides automotive financial services. The company offers a range of services, including leasing and financing; financial services for dealerships; commercial fleet management; procurement of automotive insurance solutions; and banking services, such as credit cards and financial investment options, as well as mobility services, such as car2go. The company was founded in 1992 and is based in Farmington Hills, Michigan. It has operations in the Americas, Europe, Asia Pacific, and Africa. debis Financial Services Inc. operates as a subsidiary of Daimler AG."
211,208,Banamex,Operating Subsidiary,"Banco Nacional de México, S.A. provides various banking products and services to the residents of Mexico. The company offers credit cards, debit accounts, loans, insurance, savings and investment plans, retirement plans, and personalized advisory services for individuals; and business and payroll accounts, business loans, executive cards, collection and payment services, foreign exchange services, derivatives and trust services, insurance products, and investments plans for small and medium enterprises, business customers, and government institutions. It also provides online and mobile banking services. The company was founded in 1884 and is based in Mexico City, Mexico. Banco Nacional de México, S.A. operates as a subsidiary of Grupo Financiero Citibanamex, S. A. de C. V."
212,209,Wayzata,,"Wayzata Investment Partners LLC is an employee owned investment manager. The firm provides its services to pooled investment vehicles. It manages private equity funds and hedge funds for its clients. The firm invests in the public equity, private equity, and hedging markets of the United States. It focuses its investments in the small- and middle-market sectors and distressed markets, typically in the debt securities of distressed companies, which are in bankruptcy or undergoing financial restructuring or reorganization and undervalued debt and equity. Wayzata Investment Partners LLC was founded in 1997 and is based in Wayzata, Minnesota with additional offices in Boston, Houston in United States, London, UK, and Mumbai, India."
213,210,Guaranty Business Credit Corporation,,
214,211,Keltic Financial Partners. LP,,
215,212,"Pacific Business Funding, a division of Cupertino National Bank",,
216,213,Brown Brothers Harriman & Co,,"Brown Brothers Harriman & Co. is a financial services company that provides commercial banking, investment advisory, investment management, brokerage, and trust services to private companies and individuals. It also performs merger advisory, foreign exchange, custody services, commercial banking, and corporate financing services. The company offers investor services, such as alternative fund services, cross-border fund services, currency strategy, custody and fund services, depositary and trustee services, exchange-traded fund services, investment operations, securities lending, and transfer agency services. The company also offers private banking solutions, including corporate advisory and banking, endowment and foundation management, and multi-family office services. Additionally, the company also offers investment management services, such as public equity, fixed income, and funds and separately managed accounts. Brown Brothers Harriman & Co. was founded in 1825 and is based in New York, New York. It has offices in the United States, Europe, and Asia."
217,214,Madeleine LLC,,"Madeleine LLC offers brokerage, investment, and management consultancy services. The company is based in New York City with additional office in Delaware."
218,215,AT&T Commercial Finance Corp,Operating Subsidiary,"CIT Lending Services Corporation provides business lending, mortgage, and debt financing services. The company was formerly known as Newcourt Commercial Finance Corporation and changed its name to CIT Lending Services Corporation in April 2000. The company was incorporated in 1989 and is based in Livingston, New Jersey. CIT Lending Services Corporation operates as a subsidiary of The CIT Group/Equipment Financing, Inc."
219,216,Coast Business Credit Corp,Out of Business,"Coast Business Credit ceased operations in 2003. Coast Business Credit (CBC) provides asset based lending to manufacturers, wholesalers, distributors, retailers, importers, technology, and service companies. The company offers revolving lines of credit and term loans secured by accounts receivable, inventory, equipment, industrial real estate, intangibles and intellectual property. Its revolving credit lines and term loans range from $1 million to $30 million. CBC focuses on middle market companies in telecommunications, computer, and software sectors. The company is based in Dallas, Texas. CBC was formerly a subsidiary of Southern Pacific Bank."
220,217,The Hongkong and Shanghai Banking,Operating Subsidiary,"The Hongkong and Shanghai Banking Corporation Limited, together with its subsidiaries, provides a range of banking and related financial services in Hong Kong and rest of the Asia-Pacific. It operates through Wealth and Personal Banking (WPB), Commercial Banking (CMB) and Global Banking and Markets (GBM) segments. The WPB segment offers a range of retail banking and wealth products to its customers from personal banking to ultra-high net worth individuals. This segment provides retail banking products, such as current and savings accounts, mortgages and personal loans, credit cards, debit cards, and local and international payment services; and wealth management services, including insurance and investment products, asset management services, investment management, and private wealth solutions. The CMB segment offers a range of products and services to serve the needs of its commercial customers, including small and medium-sized enterprises, mid-market enterprises, and corporates. Its products include credit and lending, international trade and receivables finance, treasury management and liquidity solutions, commercial insurance, and investments. This segment also provides foreign exchange products, raising capital on debt and equity markets, and advisory services. The GBM segment offers financial solutions to major government, corporate and institutional clients, and private investors. This segment provides a range of banking capabilities, including financing, advisory, and transaction services; and services in credit, rates, foreign exchange, equities, money markets and securities, and principal investment activities. The company was founded in 1865 and is headquartered in Central, Hong Kong. The Hongkong and Shanghai Banking Corporation Limited is a subsidiary of HSBC Asia Holdings Limited."
221,218,IBJ Whitehall Bank & Trust Co,Acquired,"As on 11/12/2002, IBJ Whitehall Bank & Trust Company is acquired by Mizuho Corporate Bank (USA). IBJ Whitehall Bank & Trust Company operates as a wholesale bank and provides services such as middle market commercial lending, private banking and investment management services, corporate trust and agency services and security services. The bank provides small business and consumer credit to its private banking clientele. IBJ Whitehall Bank & Trust Company was formerly known as IBJ Schroder Bank & Trust Company and changed its name to IBJ Whitehall Bank & Trust Company in 1999. Prior to that IBJ Schroder Bank & Trust Company was known as J. Henry Schroder Bank & Trust Company, Schroder Trust Company and J. Henry Schroder Trust Company. IBJ Whitehall Bank & Trust Company is based in the New York, New York."
222,219,Alfa-Bank,Operating Subsidiary,"Joint Stock Company Alfa-Bank provides various financial products and services to corporate and retail customers. The company operates through Corporate and Investment Banking; Banking Operations of Medium, Small and Micro-Businesses; Retail Banking; and Treasury Operations and Centralized Corporate Functions. It offers current and savings accounts; demand and term deposits; corporate banking services, such as working capital and investment financing, cash management, currency control, risk management, liquidity management, factoring, leasing, foreign exchange, and trade finance services. The company also provides payment and account, cash handling, settlement, and custody services; loans to individual entrepreneurs, and small and medium-sized businesses; consumer, personal, car, and mortgage loans; credit and debit cards; retail banking services; and cash clearing and overdraft facility services to financial institutions. In addition, it offers investment banking services, including equities, fixed income products, derivatives, and structured products, as well as brokerage, corporate finance and mergers and acquisitions advisory, and debt capital market services. The company was founded in 1990 and is headquartered in Moscow, Russia. Joint Stock Company Alfa-Bank operates as a subsidiary of Ojsc Ab Holding."
223,220,"WELLS FARGO CENTURY, INC.",,
224,221,LaSalle Business Credit,,
225,222,Fortress Credit Corp,,"Fortress Credit Corporation specializes in originating, structuring, and providing customized financing solutions to corporate, real estate, and asset-based borrowers. Its solutions include bridge loans to borrowers; flexible acquisition facilities for acquirers of opportunistic assets; and mezzanine or last-out secured loans to companies. Fortress Credit Corporation was incorporated in 2003 and is based in New York, New York."
226,223,"Thermo Credit, LLC",,
227,224,Blue Crest Venture Finance Master Fund Limited,,
228,225,Marine Midland Bank,Acquired,"As of March 30, 1990, Marine Midland Bank (Delaware) N.A. was acquired by HSBC Bank USA (Buffalo,NY)."
229,226,CIT Group,Acquired,"As of January 3, 2022, CIT Group Inc. was acquired by First-Citizens Bank & Trust Company. CIT Group Inc. operates as the holding company for CIT Bank, N.A. that provides banking and related services to commercial and individual customers. The company operates through Commercial Banking and Consumer Banking segments. The Commercial Banking segment provides a range of commercial lending, leasing, and deposit products; loans comprising revolving lines of credit, term loans, unsecured loans, collateral-backed loans, asset-based loans, commercial real estate loans, and cash flow loans; and ancillary services and products, including cash management, capital markets, and advisory services primarily to small and middle market companies. This segment also offers asset management, factoring, receivable management, and secured financing services; supply chain financing, leasing and equipment financing to small businesses and middle market, and railroads and shippers. The Consumer Banking segment provides checking, savings, money market, and individual retirement accounts; time deposits and certificates of deposit; residential mortgage loans; small business administration loans; payment solutions; and fiduciary services. The company also offers leasing and advisory, and online banking services. It operates through a network of approximately 60 branches located in southern California. CIT Group Inc. was founded in 1908 and is based in New York, New York."
230,227,Merrill Lynch Business Financial Services Inc,,"GE Business Financial Services Inc. offers commercial financing for small- and middle-market businesses. It provides lines of credit, revolving loans, term loans, and equipment leases and loans. The company also offers acquisition, working capital, and equipment financing, as well as commercial real estate financing, and specialized asset financing. In addition, it provides tax preparation, bookkeeping, computer consulting, and payroll services. GE Business Financial Services Inc., formerly known as Merrill Lynch Business Financial Services, Inc., is based in Chicago, Illinois. GE Business Financial Services Inc. was formerly a subsidiary of Bank of America, National Association."
231,228,"FCC, LLC (dba. First Capital Western Region)",,
232,229,Capco Financial Corporation,,
233,230,BNP Paribas Fortis Factor,,
234,231,"Capital Factors, Inc",,No business description exists.
235,232,"The CIT Group/Commercial Services, Inc.",Operating Subsidiary,"The CIT Group/Commercial Services, Inc. provides commercial services. It offers factoring, receivable management products, and secured financing to businesses that operate in industries, including apparel, textile, furniture, and consumer electronics. The CIT Group/Commercial Services, Inc. was formerly known as The CIT Group/Factoring, Inc. and changed its name to The CIT Group/Commercial Services, Inc. in September, 1990. The company was founded in 1971 and is based in New York, New York. The CIT Group/Commercial Services, Inc. operates as a subsidiary of The CIT Group/Equipment Financing, Inc."
236,233,Fast Pay Partners LLC,,
237,234,Norwest Business Credit,,
238,235,Pacific Business Funding,,
239,236,ComVest Capital LLC ,Fully Invested,"ComVest Capital LLC specializes in investments in mezzanine, lower middle market, buyout, senior working capital revolvers, subordinated term loans, preferred equity, senior and junior secured loans, senior and junior secured credit facilities, other forms of junior capital, acquisitions, second lien loans, quasi-equity instruments, debt structures with an equity component, and subordinated terms loans. It seeks to invest between $2 million and $20 million per transaction in public or private companies with revenues between $10 million and $200 million and positive or negative EBITDA. It seeks to make non control and majority investments in its portfolio companies."
240,237,Wells Fargo Business Credit Inc,Operating Subsidiary,Wells Fargo Business Credit Canada ULC operates as a subsidiary of Wells Fargo & Company.
241,238,"Sallyport Commercial Finance, LLC",,
242,239,"White Oak Commercial Finance, LLC",Operating Subsidiary,"White Oak Commercial Finance, LLC provides advances and credit guarantees through the sale of receivables for companies and businesses in the United States and Asia. It offers trade finance, asset based lending, customized factoring, accounts receivable purchasing, advance payment programs, commercial services, full-service factoring, letters of credit, inventory lending, and international financing. The company serves suppliers, importers, non-domestic exporters, wholesalers, manufacturers, distributors, service providers, and retailers. White Oak Commercial Finance, LLC was formerly known as Capital Business Credit LLC and changed its name to White Oak Commercial Finance, LLC in December 2016. The company was founded in 1987 and is based in New York, New York with additional offices and locations in Charlotte, North Carolina; Los Angeles, California; Fort Lauderdale, Florida; Hong Kong; and Shanghai, China. White Oak Commercial Finance, LLC operates as a subsidiary of Capital Factors, Inc."
243,240,Gibraltar Business Capital,,
244,241,"United Technologies Optical Systems, Inc",,
245,242,"Alterna Capital Solutions, LLC ",,"Alterna Capital Solutions LLC operates as accounts receivables financing company. The company is based in Winter Park, Florida."
246,243,Transamerica Business Credit Corporation,,
247,244,Ulster Bank Markets,,
248,245,"Greenfield Commercial Credit, LLC",Acquired,"As of March 12, 2012, Greenfield Commercial Credit, L.L.C. was acquired by Gibraltar Business Capital, LLC. Greenfield Commercial Credit, L.L.C., a commercial finance company, provides asset based lines of credit to companies that are rapidly growing, in transition, or restructuring operations. It offers asset based lines of credit for accounts receivables and inventory, as well as factoring, debtor in possession, and purchase order financing services. Greenfield Commercial Credit, L.L.C. was founded in 1995 and is based in Bloomfield Hills, Michigan."
249,246,"JT USA, L.P.",,No business description exists.
250,247,International Business Machines Corporat,,"International Business Machines Corporation provides integrated solutions and services worldwide. The company operates through four business segments: Software, Consulting, Infrastructure, and Financing. The Software segment offers hybrid cloud platform and software solutions, such as Red Hat, an enterprise open-source solutions; software for business automation, AIOps and management, integration, and application servers; data and artificial intelligence solutions; and security software and services for threat, data, and identity. This segment also provides transaction processing software that supports clients’ mission-critical and on-premise workloads in banking, airlines, and retail industries. The Consulting segment offers business transformation services, including strategy, business process design and operations, data and analytics, and system integration services; technology consulting services; and application and cloud platform services. The Infrastructure segment provides on-premises and cloud-based server and storage solutions for its clients’ mission-critical and regulated workloads; and support services and solutions for hybrid cloud infrastructure, as well as remanufacturing and remarketing services for used equipment. The Financing segment offers lease, installment payment, loan financing, and short-term working capital financing services. The company was formerly known as Computing-Tabulating-Recording Co. International Business Machines Corporation was incorporated in 1911 and is headquartered in Armonk, New York."
251,248,Private Equity Management Group Financial Corporation,,
252,249,Bank of America Business Capital ,,
253,250,CapitalSource Finance,Operating Subsidiary,"CapitalSource Finance LLC provides commercial loans to small and middle-market businesses in the United States. The company offers asset-based lending, commercial and construction real estate finance, data center finance, equipment leasing and finance, healthcare finance, lender finance, leveraged finance, multifamily finance, premium finance, resort finance, security finance, and small business lending services. It also offers business depository and cash management solutions. The company was incorporated in 2000 and is based in Chevy Chase, Maryland. It has additional offices in Los Angeles, Denver, Chicago, Boston, New York, and Atlanta. CapitalSource Finance LLC operates as a subsidiary of PacWest Bancorp."
254,251,"Capital Temp Funds, Inc.",,
255,252,Pinnacle Ventures LLC,First Close,"Pinnacle Venture Debt III, L.P. is a fund of Pinnacle Ventures."
256,253,LSQ Funding Group,,
257,254,"PMC Financial Services Group, LLC",,
258,255,Norwest  Business  Credit,,
259,256,Naxyris S.A,,
260,257,Blue Ridge Asset Funding Corporation,,
261,258,"Allied Capital Partners, L.P",,
262,259,Webster Business Credit Corporation,,
263,260,Siena Lending Group LLC,,
264,261,M-I L.L.C.,Operating Subsidiary,"M-I L.L.C., doing business as M-I SWACO, manufactures hydrocarbon exploration and production equipment. The company provides drilling fluid systems. It offers differential sticking, lost circulation, hole-cleaning, well control and planning, compatibility testing, and project engineering solutions. The company provides clear brine fluid systems; filtration equipment and services; and wellbore cleanout, spacer and displacement chemical systems, and vessel-cleaning technologies. It also offers premium screens, vacuum systems, cuttings reinjection and treatment, pneumatic transfer, thermal desorption, process control and rig instrumentation, horizontal directional drilling, mining and waterwell, and waste management services. The company was founded in 1939 and is based in Houston, Texas. M-I L.L.C. operates as a subsidiary of Schlumberger Limited."
265,262,Exar Corporation ,Operating Subsidiary,"Exar Corporation designs, develops, and markets high performance analog mixed-signal integrated circuits and sub-system solutions for the industrial and embedded systems, high-end consumer, and infrastructure markets worldwide. The company offers a portfolio of high-performance analog and mixed-signal products constituting power management and interface technologies that are used in wireless and wireline communications infrastructure, broadband access, industrial, enterprise networking, and automotive platforms. It offers its products for the connected home, wired and wireless infrastructure, and industrial and multi-market applications. The company was founded in 1971 and is based in Fremont, California. Exar Corporation is a subsidiary of MaxLinear, Inc."
266,263,IBJ Whitehall-Financial Group,,
267,264,"Faunus Group International, Inc",,
268,265,Enron North America Corp,Out of Business,"On November 17, 2011, Enron North America Corp. went out of business as per its Chapter 11 liquidation filing under bankruptcy. Enron North America Corp. generates, distributes, and markets natural gas, electricity, and related risk management services. It also develops, constructs, and operates power plants, pipelines and energy-related assets. Enron North America Corp. was formerly known as Enron Capital & Trade Resources, Inc. in 1989 and it changed its name to Enron North America Corp. in September, 1999. The company was founded in 1989 and is based in Houston, Texas. Enron North America Corp. is a former subsidiary of Enron Creditors Recovery Corp."
269,266,"Advance Payroll Funding, Inc",,
270,267,ROCKLAND CREDIT FINANCE LLC,,
271,268,Vectra Bank ,Acquired,No business description exists.
272,269,Avidbank Corporate Finance,,
273,270,"Heller Financial, Inc.",Acquired,"As of February 28, 1999, Heller Financial S.A. was acquired by Heller International Group Ltd. Heller Financial S.A. issues short term certificates and provides factoring services. The company is based in Argentina."
274,271,Interact Commerce Corporation,Acquired,"Interact Commerce Corporation was acquired by Sage Group plc. Interact Commerce Corporation develops, distributes, and supports business management software and related products and services for smaller and medium-sized businesses. It offers its products to professionals and corporations in the high tech, real estate, financial services, manufacturing, marketing, and consulting industries worldwide through direct and value added resellers. Interact Commerce Corporation was formerly known as SalesLogix Corporation and changed its name to Interact Commerce Corporation in April 2000. The company was incorporated in 1995 and is based in Scottsdale, Arizona."
275,272,"DSCH Capital Partners, LLC ",,
276,273,"CIT Group, Inc.",Acquired,"As of January 3, 2022, CIT Group Inc. was acquired by First-Citizens Bank & Trust Company. CIT Group Inc. operates as the holding company for CIT Bank, N.A. that provides banking and related services to commercial and individual customers. The company operates through Commercial Banking and Consumer Banking segments. The Commercial Banking segment provides a range of commercial lending, leasing, and deposit products; loans comprising revolving lines of credit, term loans, unsecured loans, collateral-backed loans, asset-based loans, commercial real estate loans, and cash flow loans; and ancillary services and products, including cash management, capital markets, and advisory services primarily to small and middle market companies. This segment also offers asset management, factoring, receivable management, and secured financing services; supply chain financing, leasing and equipment financing to small businesses and middle market, and railroads and shippers. The Consumer Banking segment provides checking, savings, money market, and individual retirement accounts; time deposits and certificates of deposit; residential mortgage loans; small business administration loans; payment solutions; and fiduciary services. The company also offers leasing and advisory, and online banking services. It operates through a network of approximately 60 branches located in southern California. CIT Group Inc. was founded in 1908 and is based in New York, New York."
277,274,Marquette Commercial Finance,Operating Subsidiary,"Marquette Commercial Finance operates as a subsidiary of UMB Bank, National Association."
278,275,"SCM Specialty Finance Opportunities Fund,L.P.",,
279,276,"AT&T Credit Holdings, Inc.",,
280,277,"FastPay Partners, LLC",,
281,278,"Gemino Healthcare Finance, LLC",,
282,279,GMAC Commercial Credit LLC ,Acquired,"GMAC Commercial Credit LLC was acquired by Ally Corporate Finance LLC. GMAC Commercial Credit LLC is a diversified financial services company. GMAC Commercial Credit LLC was formerly known as Bank of New York Financial Corporation and changed its name to GMAC Commercial Credit LLC in July 1999 as a result of the acquisition of Bank of New York Financial Corp. by General Motors Acceptance Corp. The company is based in New York, New York. As of July 22, 1999, GMAC Commercial Credit LLC is a former subsidiary of Ally Financial Inc."
283,280,"Quantum Value Partners, LP",Final Close,"Quantum Value Partners, L.P. specializes in investments in leveraged buyouts, management buyouts, recapitalizations, expansion capital, and selective turnaround situations. The fund seeks to invest in automotive parts suppliers, commercial manufacturing, consumer goods, distribution, industrial equipment and capital goods, and financial services. It primarily invests in middle market companies based in North America. The fund targets stand-alone companies or corporate divestitures with revenue between $10 million and $150 million and EBITDA between $2 million and $20 million. It prefers to invest in companies with an enterprise value between $10 million and $50 million and also seeks to invest $2 million to $15 million in fund equity per transaction. The fund’s transactions are structured to include combination of financial instruments in the form of senior debt from third party sources, mezzanine debt, seller preferred notes, seller rollover equity and equity from its principals and the fund. It prefers to structure transaction with equity contribution in the 20 percent to 40 percent range. The fund focuses primarily on privately held opportunities or corporate divestitures, but will consider small cap public companies whose future growth prospects may be more effectively realized as a private organization. It acts as a control investor or takes majority shareholder position when not provided operating control."
284,281,"Healthcare Finance Group, LLC",Operating Subsidiary,"Healthcare Finance Group, LLC operates as a middle market lender to the healthcare industry in the United States. The company offers revolving lines of credit and term loans for healthcare businesses. It also provides capital markets to meet the senior debt funding and subordinated debt placement need; and syndication services. The company was founded in 2000 and is based in Greenwich, Connecticut. As of June 22, 2015, Healthcare Finance Group, LLC operates as a subsidiary of Medical Healthcare Solutions, Inc."
285,282,Sapinda UK Limited,,
286,283,Southern Finance,Out of Business,No business description exists.
287,284," CIT  Group/Business  Credit,  Inc",Operating Subsidiary,"Cit Group Business Credit, Llc, The operates as a subsidiary of First Citizens BancShares, Inc."
288,285,Textron Financial  Corporation,Operating Subsidiary,"GE Commercial Corporation (Australia) Pty Ltd. was incorporated in 1972 and is based in Sydney, Australia. GE Commercial Corporation (Australia) Pty Ltd. operates as a subsidiary of GE Capital Finance Australasia Pty Ltd."
289,286,Rockland Credit Finance LLC,,
290,287,Paragon Capital LLC,Acquired,"Drake & Co. Inc. is based in New York, New York. Drake & Co. Inc. was acquired by Gerlach (Nominee) & Co., L.L.C.."
291,288,Creditanstalt Bankverein,,No business description exists.
292,289,Wells Fargo Retail Finance II LLC,,
293,290,Transamerica  Commercial Finance  Corporation,,"SHORT-TERM BUSINESS CREDIT, NSK"
294,291,Missouri State Bank,Acquired,"As of July 1, 2006, Missouri State Bank and Trust Company was acquired by Southwest Bank, An M&I Bank. Missouri State Bank and Trust Company is a state commercial bank that offers personal and commercial banking services. The bank's services include checking and saving accounts, credit cards, mortgage servicing, and business and automobile loans. It also offers Internet banking and wealth management services. The bank is based in Saint Louis, Missouri with additional branches in Clayton, Springfield, Sunset Hills, West County, and Creve Coeur."
295,292,Silicon Valley Financial Services,,
296,293,Fast Pay Partners LLC ,,
297,294,Presstek and KeyBank N.A.,,
298,295,the USW,,"USAA Mutual Funds Trust - USAA Sustainable World Fund is an open-end equity mutual fund launched and managed by Victory Capital Management Inc. It is co-managed by MFS Investment Management, Inc. The fund invests in public equity markets of global region. It invests in stocks of companies operating across diversified sectors. The fund invests in growth and value stocks of companies across diversified market capitalization. It employs fundamental and quantitative analysis to create its portfolio. The fund seeks to benchmark the performance of its portfolio against the MSCI World Index and the Lipper Global Funds Index. USAA Mutual Funds Trust - USAA Sustainable World Fund was formed on October 1, 1992 and is domiciled in United States."
299,296,Webster Business Credit Corp,,
300,297,"CNH Finance Fund I, L.P.",,
301,298,Brown Brothers Harriman & Co. ,,"Brown Brothers Harriman & Co. is a financial services company that provides commercial banking, investment advisory, investment management, brokerage, and trust services to private companies and individuals. It also performs merger advisory, foreign exchange, custody services, commercial banking, and corporate financing services. The company offers investor services, such as alternative fund services, cross-border fund services, currency strategy, custody and fund services, depositary and trustee services, exchange-traded fund services, investment operations, securities lending, and transfer agency services. The company also offers private banking solutions, including corporate advisory and banking, endowment and foundation management, and multi-family office services. Additionally, the company also offers investment management services, such as public equity, fixed income, and funds and separately managed accounts. Brown Brothers Harriman & Co. was founded in 1825 and is based in New York, New York. It has offices in the United States, Europe, and Asia."
302,299,Wells Fargo Financial Corp Canada,Acquired,"As of June 1, 2017, Wells Fargo Financial Corporation Canada was acquired by Wells Fargo Canada Corporation. Wells Fargo Financial Corporation Canada provides financial products and services in Canada. The company focuses on real estate-secured loans, personal loans, and sales finance receivables, as well as on automobile and private-label credit card financing. The company offers credit card services to retailers; and mortgage financing for customers to purchase or refinance their homes. Wells Fargo Financial Corporation Canada serves various segments of the consumer credit market. The company offers its retail financing programs to retailers through a network of merchants, mortgage brokers, and consumer stores. Wells Fargo Financial Corporation Canada was formerly known as Trans Canada Credit Corporation and changed its name to Wells Fargo Financial Corporation Canada in January 2005. The company was founded in 1940 and is based in Mississauga, Canada."
303,300," FIN Branding Group, LLC ",,
304,301,NBT Bank,Operating Subsidiary,"NBT Bank, National Association is a bank. The company is an asset manager. The company offers demand deposits and non-interest bearing time and savings deposits. The company's deposits include deposits in transaction accounts, brokered deposits which represent funds, retail time deposits, individual retirement accounts and Keogh plan time deposits, money market deposit accounts and jumbo deposits. The company provides consumer loans, including credit card loans, revolving credit plans, personal loans and automotive loans. The company offers commercial and industrial loans. The company offers domestic commercial and industrial loans. Also, it provides commercial real estate loans for land development and on-site construction of industrial, commercial, residential, or farm buildings in the United States. It provides real estate-backed residential loans. In addition, it provides commercial loans collateralized by real estate properties. In addition, it provides loans for the purpose of financing agricultural production. The company was founded in 1856 and is based in Norwich, New York."
305,302,NIL Funding Corporation,Operating Subsidiary,No color notes exists.
306,303,"Hercules Technology II, L.P.",Operating Subsidiary,"Hercules Technology II, L.P. is an SBIC specializing in middle market, mezzanine, and PIPES investments. The firm seeks to invest in technology and life science and biotechnology companies. It typically invests in companies based in the United States and Israel. It typically invests between $1 million and $30 million. Hercules Technology II, L.P. operates as a subsidiary of Hercules Capital, Inc. Hercules Technology II, L.P. is based in Palo Alto, California."
307,304,Prestige Capital Corporation,,"Prestige Capital Corporation provides factoring services for small and mid-size companies in the United States, Canada, and Puerto Rico. The company also offers credit services, including cash, credit, credit protection, and collection, as well as supplier guarantee, and credit profile and checking. In addition, it offers financial consulting, asset-based consultation and placement, equipment loan placement, purchase order financing, equity financing, and tax resolution services, as well as SBA loans. The company serves service, manufacturing, distribution, construction, and importing industries. It offers services through brokers. Prestige Capital Corporation was founded in 1985 and is based in Fort Lee, New Jersey."
308,305,"Factors Southwest, LLC",,
309,306,"Nittan USA, Inc.",,
